warn-2019/09/10 13:16:02 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 用户登录出错！错误信息：Error 1054: Unknown column 'ignature' in 'field list'
warn-2019/09/10 13:17:56 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 用户登录出错！错误信息：Error 1054: Unknown column 'ignature' in 'field list'
warn-2019/09/10 14:10:47 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: Unmarshal(non-pointer map[string]string)
warn-2019/09/10 14:11:03 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: Unmarshal(non-pointer map[string]string)
warn-2019/09/10 14:11:04 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: Unmarshal(non-pointer map[string]string)
warn-2019/09/10 14:11:04 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: Unmarshal(non-pointer map[string]string)
warn-2019/09/10 14:11:40 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]string
warn-2019/09/10 14:19:56 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:24:01 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:24:02 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
warn-2019/09/10 14:58:22 e:/SCFY/文档/VsCode/scfy-im/src/logger/logger.go:30: 反序列化session数据报错！错误信息：json: cannot unmarshal string into Go value of type map[string]interface {}
